Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	28	8453.9	8542.0	1714650023640.7	1714650023728.8	88.1	-	-	-	-	-	-	-	1597.6	126.8	552.0	143.2	20.5	7823.6	19395.8	-12188.1	232.1	414.6	22.7	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	30	8542.0	8641.8	1714650023728.8	1714650023828.6	99.8	551.7	149.2	3.0	3.0	3.0	9.4	17.2	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	29	8641.8	8677.7	1714650023828.6	1714650023864.5	35.9	-	-	-	-	-	-	-	558.7	159.4	322.8	192.4	4.3	8077.9	11101.2	-10789.5	120.4	240.9	44.3	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	31	8677.7	8897.8	1714650023864.5	1714650024084.6	220.1	301.1	176.6	3.1	3.1	3.1	31.1	23.4	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	30	8897.8	8937.7	1714650024084.6	1714650024124.5	39.9	-	-	-	-	-	-	-	301.0	173.5	403.3	181.8	2.0	2787.3	4282.4	-3632.4	51.1	98.1	39.7	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	32	8937.7	9073.7	1714650024124.5	1714650024260.5	136.0	408.6	187.7	3.2	3.2	3.2	15.3	15.4	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	31	9073.7	9101.6	1714650024260.5	1714650024288.5	28.0	-	-	-	-	-	-	-	407.9	198.0	509.3	177.5	1.8	4294.4	6097.2	-5502.3	65.1	139.4	43.1	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	33	9101.6	9297.6	1714650024288.5	1714650024484.5	196.0	530.1	183.3	3.2	3.2	3.2	29.0	26.6	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	32	9297.6	9321.6	1714650024484.5	1714650024508.4	24.0	-	-	-	-	-	-	-	537.5	171.2	591.5	166.0	1.1	2295.4	3234.8	-3030.0	43.8	90.6	49.8	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	34	9321.6	9425.5	1714650024508.4	1714650024612.4	103.9	606.4	182.3	3.2	3.2	3.2	30.2	20.2	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
